dateRep;day;month;year;cases;deaths;countriesAndTerritories;geoId;countryterritoryCode;popData2018;continentExp
16/04/2020;16;4;2020;969;6;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
17/04/2020;17;4;2020;1018;6;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
18/04/2020;18;4;2020;1101;6;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
19/04/2020;19;4;2020;1148;6;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
20/04/2020;20;4;2020;1170;7;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
21/04/2020;21;4;2020;1199;7;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
22/04/2020;22;4;2020;1224;7;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
23/04/2020;23;4;2020;1252;8;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
24/04/2020;24;4;2020;1281;8;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
25/04/2020;25;4;2020;1304;8;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
26/04/2020;26;4;2020;1331;8;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
27/04/2020;27;4;2020;1353;8;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
28/04/2020;28;4;2020;1377;8;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
29/04/2020;29;4;2020;1408;11;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
30/04/2020;30;4;2020;1446;11;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
01/05/2020;1;5;2020;1507;11;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
02/05/2020;2;5;2020;1598;12;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
03/05/2020;3;5;2020;1624;14;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
04/05/2020;4;5;2020;1661;14;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
05/05/2020;5;5;2020;1697;15;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
06/05/2020;6;5;2020;1720;15;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
07/05/2020;7;5;2020;1804;15;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
08/05/2020;8;5;2020;1851;18;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
09/05/2020;9;5;2020;1910;18;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
10/05/2020;10;5;2020;1952;22;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
11/05/2020;11;5;2020;1971;22;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
12/05/2020;12;5;2020;2014;22;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
13/05/2020;13;5;2020;2074;24;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
14/05/2020;14;5;2020;2135;24;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
15/05/2020;15;5;2020;2210;24;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
16/05/2020;16;5;2020;2262;25;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
17/05/2020;17;5;2020;2329;25;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
18/05/2020;18;5;2020;2343;26;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
19/05/2020;19;5;2020;2361;27;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
20/05/2020;20;5;2020;2400;27;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
21/05/2020;21;5;2020;2453;27;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
22/05/2020;22;5;2020;2521;29;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
23/05/2020;23;5;2020;2633;29;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
24/05/2020;24;5;2020;2773;29;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
25/05/2020;25;5;2020;2993;30;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
26/05/2020;26;5;2020;3043;31;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
27/05/2020;27;5;2020;3167;31;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
28/05/2020;28;5;2020;3329;31;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
29/05/2020;29;5;2020;3583;31;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
30/05/2020;30;5;2020;3773;31;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
31/05/2020;31;5;2020;4003;33;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
01/06/2020;1;6;2020;4231;33;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
02/06/2020;2;6;2020;4276;33;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
03/06/2020;3;6;2020;4567;33;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
04/06/2020;4;6;2020;4845;33;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
05/06/2020;5;6;2020;5215;40;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
06/06/2020;6;6;2020;5626;47;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
07/06/2020;7;6;2020;5946;47;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
08/06/2020;8;6;2020;6258;47;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
09/06/2020;9;6;2020;6546;57;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
10/06/2020;10;6;2020;7195;57;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
11/06/2020;11;6;2020;7953;57;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
12/06/2020;12;6;2020;8781;57;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
13/06/2020;13;6;2020;9897;81;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
14/06/2020;14;6;2020;11164;81;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
15/06/2020;15;6;2020;12193;87;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
16/06/2020;16;6;2020;13023;87;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
17/06/2020;17;6;2020;14620;87;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
18/06/2020;18;6;2020;15898;87;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
19/06/2020;19;6;2020;17261;114;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
20/06/2020;20;6;2020;18978;114;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
21/06/2020;21;6;2020;20822;122;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
22/06/2020;22;6;2020;22341;122;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
23/06/2020;23;6;2020;24041;122;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
24/06/2020;24;6;2020;26156;147;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
25/06/2020;25;6;2020;28746;149;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
26/06/2020;26;6;2020;31344;149;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
27/06/2020;27;6;2020;34285;166;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
28/06/2020;28;6;2020;36895;174;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
29/06/2020;29;6;2020;39841;180;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
30/06/2020;30;6;2020;42881;216;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng
16/04/2020;16;4;2020;539;20;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
17/04/2020;17;4;2020;591;20;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
18/04/2020;18;4;2020;604;21;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
19/04/2020;19;4;2020;617;22;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
20/04/2020;20;4;2020;639;23;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
21/04/2020;21;4;2020;671;23;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
22/04/2020;22;4;2020;758;25;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
23/04/2020;23;4;2020;807;27;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
24/04/2020;24;4;2020;841;29;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
25/04/2020;25;4;2020;847;29;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
26/04/2020;26;4;2020;863;29;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
27/04/2020;27;4;2020;902;30;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
28/04/2020;28;4;2020;919;30;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
29/04/2020;29;4;2020;956;32;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
30/04/2020;30;4;2020;980;32;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
01/05/2020;1;5;2020;1006;32;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
02/05/2020;2;5;2020;1051;34;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
03/05/2020;3;5;2020;1076;34;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
04/05/2020;4;5;2020;1106;35;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
05/05/2020;5;5;2020;1142;36;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
06/05/2020;6;5;2020;1189;38;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
07/05/2020;7;5;2020;1204;40;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
08/05/2020;8;5;2020;1253;42;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
09/05/2020;9;5;2020;1308;43;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
10/05/2020;10;5;2020;1353;43;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
11/05/2020;11;5;2020;1372;44;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
12/05/2020;12;5;2020;1394;44;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
13/05/2020;13;5;2020;1413;44;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
14/05/2020;14;5;2020;1444;44;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
15/05/2020;15;5;2020;1482;45;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
16/05/2020;16;5;2020;1498;45;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
17/05/2020;17;5;2020;1543;45;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
18/05/2020;18;5;2020;1567;45;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
19/05/2020;19;5;2020;1616;46;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
20/05/2020;20;5;2020;1650;46;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
21/05/2020;21;5;2020;1693;46;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
22/05/2020;22;5;2020;1735;47;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
23/05/2020;23;5;2020;1777;48;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
24/05/2020;24;5;2020;1815;49;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
25/05/2020;25;5;2020;1882;49;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
26/05/2020;26;5;2020;1927;49;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
27/05/2020;27;5;2020;2186;49;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
28/05/2020;28;5;2020;2349;50;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
