dateRep;day;month;year;cases;deaths;countriesAndTerritories;geoId;countryterritoryCode;popData2018;continentExp
29/05/2020;29;5;2020;2428;50;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
30/05/2020;30;5;2020;2476;52;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
31/05/2020;31;5;2020;2545;52;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
01/06/2020;1;6;2020;2565;52;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
02/06/2020;2;6;2020;2637;53;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
03/06/2020;3;6;2020;2707;54;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
04/06/2020;4;6;2020;2869;55;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
05/06/2020;5;6;2020;2936;55;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
06/06/2020;6;6;2020;3016;61;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
07/06/2020;7;6;2020;3108;61;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
08/06/2020;8;6;2020;3175;62;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
09/06/2020;9;6;2020;3255;62;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
10/06/2020;10;6;2020;3347;64;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
11/06/2020;11;6;2020;3472;64;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
12/06/2020;12;6;2020;3573;64;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
13/06/2020;13;6;2020;3763;64;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
14/06/2020;14;6;2020;3874;69;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
15/06/2020;15;6;2020;3959;69;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
16/06/2020;16;6;2020;4048;73;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
17/06/2020;17;6;2020;4238;73;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
18/06/2020;18;6;2020;4360;73;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
19/06/2020;19;6;2020;4548;80;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
20/06/2020;20;6;2020;4806;83;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
21/06/2020;21;6;2020;5030;84;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
22/06/2020;22;6;2020;5278;87;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
23/06/2020;23;6;2020;5625;91;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
24/06/2020;24;6;2020;6075;91;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
25/06/2020;25;6;2020;6590;106;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
26/06/2020;26;6;2020;7090;106;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
27/06/2020;27;6;2020;7786;109;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
28/06/2020;28;6;2020;8433;109;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
29/06/2020;29;6;2020;9041;115;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
30/06/2020;30;6;2020;9674;126;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal
16/04/2020;16;4;2020;26;1;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
17/04/2020;17;4;2020;26;1;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
18/04/2020;18;4;2020;26;1;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
19/04/2020;19;4;2020;27;1;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
20/04/2020;20;4;2020;27;1;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
21/04/2020;21;4;2020;27;1;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
22/04/2020;22;4;2020;27;1;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
23/04/2020;23;4;2020;27;1;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
24/04/2020;24;4;2020;29;1;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
25/04/2020;25;4;2020;30;2;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
26/04/2020;26;4;2020;31;2;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
27/04/2020;27;4;2020;31;2;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
28/04/2020;28;4;2020;31;2;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
29/04/2020;29;4;2020;31;2;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
30/04/2020;30;4;2020;32;2;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
01/05/2020;1;5;2020;34;2;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
02/05/2020;2;5;2020;36;2;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
03/05/2020;3;5;2020;37;2;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
04/05/2020;4;5;2020;39;2;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
05/05/2020;5;5;2020;40;2;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
06/05/2020;6;5;2020;40;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
07/05/2020;7;5;2020;41;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
08/05/2020;8;5;2020;43;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
09/05/2020;9;5;2020;51;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
10/05/2020;10;5;2020;54;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
11/05/2020;11;5;2020;54;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
12/05/2020;12;5;2020;54;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
13/05/2020;13;5;2020;54;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
14/05/2020;14;5;2020;55;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
15/05/2020;15;5;2020;57;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
16/05/2020;16;5;2020;59;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
17/05/2020;17;5;2020;77;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
18/05/2020;18;5;2020;88;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
19/05/2020;19;5;2020;94;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
20/05/2020;20;5;2020;93;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
21/05/2020;21;5;2020;121;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
22/05/2020;22;5;2020;120;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
23/05/2020;23;5;2020;124;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
24/05/2020;24;5;2020;128;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
25/05/2020;25;5;2020;132;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
26/05/2020;26;5;2020;132;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
27/05/2020;27;5;2020;141;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
28/05/2020;28;5;2020;144;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
29/05/2020;29;5;2020;170;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
30/05/2020;30;5;2020;173;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
31/05/2020;31;5;2020;177;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
01/06/2020;1;6;2020;192;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
02/06/2020;2;6;2020;193;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
03/06/2020;3;6;2020;200;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
04/06/2020;4;6;2020;206;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
05/06/2020;5;6;2020;215;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
06/06/2020;6;6;2020;216;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
07/06/2020;7;6;2020;227;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
08/06/2020;8;6;2020;244;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
09/06/2020;9;6;2020;253;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
10/06/2020;10;6;2020;257;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
11/06/2020;11;6;2020;267;3;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
12/06/2020;12;6;2020;288;4;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
13/06/2020;13;6;2020;309;4;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
14/06/2020;14;6;2020;326;4;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
15/06/2020;15;6;2020;362;4;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
16/06/2020;16;6;2020;391;4;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
17/06/2020;17;6;2020;416;4;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
18/06/2020;18;6;2020;489;4;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
19/06/2020;19;6;2020;503;4;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
20/06/2020;20;6;2020;521;4;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
21/06/2020;21;6;2020;564;4;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
22/06/2020;22;6;2020;582;5;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
23/06/2020;23;6;2020;622;5;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
24/06/2020;24;6;2020;670;5;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
25/06/2020;25;6;2020;730;5;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
26/06/2020;26;6;2020;798;5;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
27/06/2020;27;6;2020;862;5;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
28/06/2020;28;6;2020;935;5;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
29/06/2020;29;6;2020;1011;10;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
30/06/2020;30;6;2020;1131;10;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo
16/04/2020;16;4;2020;22;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
17/04/2020;17;4;2020;23;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
18/04/2020;18;4;2020;25;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
19/04/2020;19;4;2020;23;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
20/04/2020;20;4;2020;23;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
21/04/2020;21;4;2020;24;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
22/04/2020;22;4;2020;23;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
23/04/2020;23;4;2020;23;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
24/04/2020;24;4;2020;24;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
25/04/2020;25;4;2020;23;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
26/04/2020;26;4;2020;23;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
27/04/2020;27;4;2020;26;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
28/04/2020;28;4;2020;24;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
29/04/2020;29;4;2020;31;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
30/04/2020;30;4;2020;36;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
01/05/2020;1;5;2020;35;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
02/05/2020;2;5;2020;40;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
03/05/2020;3;5;2020;46;0;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga
